"siose";"n"
101;0.1
111;0.1
811;0.1
812;0.1
112;0.1
821;0.1
822;0.1
823;0.1
892;0.1
894;0.1
911;0.1
913;0.09
841;0.1
842;0.1
843;0.1
851;0.1
852;0.1
853;0.1
854;0.1
856;0.1
857;0.1
922;0.1
104;0.1
881;0.1
813;0.09
882;0.1
883;0.1
884;0.1
131;0.04
833;0.04
921;0.04
121;0.04
102;0.09
844;0.09
860;0.09
859;0.35
858;0.1
212;0.04
211;0.04
231;0.05
702;0.05
222;0.06
222;0.06
223;0.06
703;0.06
241;0.06
232;0.06
831;0.035
242;0.02
243;0.03
244;0.04
704;0.05
243;0.05
243;0.05
313;0.07
312;0.07
316;0.07
300;0.035
320;0.055
320;0.055
320;0.07
320;0.07
320;0.08
331;0.025
336;0.035
351;0.025
352;0.025
353;0.025
333;0.03
334;0.04
411;0.04
421;0.04
422;0.04
413;0.04
511;0.04
912;0.015
513;0.025
103;0.025
514;0.025
521;0.025
